file_number,message_id,topic,author,link,domain,top_level_domain
237622,message #720454,"FeatureMap, SetCommand, and dynamic attributes",Mickael Istria - away until August 14th,http://www.petalslink.com,www.petalslink.com,com
237622,message #720454,"FeatureMap, SetCommand, and dynamic attributes",Mickael Istria - away until August 14th,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356291,bugs.eclipse.org,org
237623,message #720456,Editing AUT Configuration in New Project wiz is very slow,Alexandra Schladebeck,http://www.eclipse.org/forums/index.php/t/237017/,www.eclipse.org,org
237623,message #720456,Editing AUT Configuration in New Project wiz is very slow,Alexandra Schladebeck,http://help.eclipse.org/indigo/topic/org.eclipse.jubula.client.ua.help/html/manual/node240.html,help.eclipse.org,org
237623,message #720456,Editing AUT Configuration in New Project wiz is very slow,Alexandra Schladebeck,http://help.eclipse.org/indigo/topic/org.eclipse.jubula.client.ua.help/html/manual/node71.html,help.eclipse.org,org
237624,message #720459,[ZEST] NPEs due to invalid GraphViewer selections,Fabian Steeg,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=GEF&component=Zest,bugs.eclipse.org,org
237624,message #720459,[ZEST] NPEs due to invalid GraphViewer selections,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=356449,bugs.eclipse.org,org
237626,message #720463,Outline Tree Provider,Jan Koehnlein,http://xtext.itemis.com,xtext.itemis.com,com
237651,message #720522,Buckminster does not materialize the source for all plugins,Thomas Hallgren,http://www.eclipse.org/forums/index.php/t/237023/,www.eclipse.org,org
237651,message #720522,Buckminster does not materialize the source for all plugins,Thomas Hallgren,http://www.eclipse.org/buckminster/CQuery-1.0,www.eclipse.org,org
237651,message #720522,Buckminster does not materialize the source for all plugins,Thomas Hallgren,http://www.eclipse.org/buckminster/CSpec-1.0,www.eclipse.org,org
