,file_number,message_id,topic,author,link,domain,top_level_domain
104,53276,message #169930,dynamic views,Alex Chapiro,http://www.eclipse.org/articles/viewArticle/ViewArticle2.html,www.eclipse.org,org
105,54000,message #172027,problem with notifications,Eclipse User,http://wiki.eclipse.org/GMF_Tips#Making_figures_sensitive_to_attributes_of_semantic_elements,wiki.eclipse.org,org
106,54600,message #173757,Displaying only a section of code,Axel Mueller,http://www.eclipsezone.com/eclipse/forums/t70008.html,www.eclipsezone.com,com
107,55425,message #176168,equals swap,Tobias Widmer,http://eclipsecolorer.sourceforge.net/advanqas,eclipsecolorer.sourceforge.net,net
108,57846,message #183369,Sash grid advice,Eclipse User,http://sourceforge.net/projects/eclipsetoolkit2/,sourceforge.net,net
109,59494,message #188109,graphical GUI designer?,Eric Clayberg,http://www.awprofessional.com/title/0321228472,www.awprofessional.com,com
110,62539,message #197246,Diagram configuration option,Nicola Salvo,http://www.omg.org/XMI,www.omg.org,org
111,63449,message #199952,how to get the current page number of total page number and show it in report?,Eclipse User,http://www.eclipse.org/birt/phoenix/deploy/reportScripting.php,www.eclipse.org,org
112,64565,message #203241,PDF export,Jens von Pilgrim,http://xml.apache.org/batik/,xml.apache.org,org
113,66438,message #208635,Adding Structure HideRule FormatValue,Daniel Hakenjos,http://www.eclipse.org/birt/phoenix/ref/rom/elements/Row.html#Property-visibility,www.eclipse.org,org
114,67959,message #213236,debugger - do no step into classes without source,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=106952,bugs.eclipse.org,org
115,68385,message #214467,How to set Result Set to the DataSet in report template?,Jason Weathersby,http://birtworld.blogspot.com/2005/11/using-embedded-java-objects-within.html,birtworld.blogspot.com,blogspot.com
116,73336,message #229219,"Re: Ident, not Format, in XML files",Raul Acevedo,https://bugs.eclipse.org/bugs/show_bug.cgi?id=269556,bugs.eclipse.org,org
117,73590,message #230044,Eclipse wiki down?,Eclipse User,http://eclipsewiki.swiki.net,eclipsewiki.swiki.net,net
118,73794,message #230663,Problems view displayed as a Table-Tree ...,Eclipse User,http://springide.org/project/attachment/wiki/SpringideGuide/ConfigValidator.png,springide.org,org
119,74188,message #231888,It's in the <ABC> FAQ,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/pde-ui-home/selfhos,dev.eclipse.org,org
120,74417,message #232554,fine grain expression analysis,Markus Keller,http://www.eclipse.org/jdt/ui/astview/index.php,www.eclipse.org,org
121,77322,message #240762,need some projects with junit test cases,Eclipse User,http://www.eclipse.org/modeling/emf/downloads/?showAll=1&;amp,www.eclipse.org,org
122,78331,message #243482,[Announce] GEF 3.4.0RC4 is available,Anthony Hunter,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=S200806091334#S200806091334,www.eclipse.org,org
123,78410,message #243720,M9: SWT Errors in editor,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=63564,bugs.eclipse.org,org
124,79225,message #246307,Analyzing IF statements using Eclipse ASTParser,Eclipse User,http://www.eclipse.org/jdt/ui/astview/index.php,www.eclipse.org,org
125,79304,message #246588,"FAQ: ""It's in the <ABC> FAQ""",Eclipse User,http://dev.eclipse.org/viewcvs/indextech.cgi/~checkout~/aspectj-home/doc/faq.html,dev.eclipse.org,org
126,84739,message #263141,Eclipse 3.0 and RTF copy,Ed Burnette,https://bugs.eclipse.org/bugs/show_bug.cgi?id=64498,bugs.eclipse.org,org
127,86273,message #267771,Setting up a new dynamic web project,Eclipse User,http://wiki.eclipse.org/User:Nickb,wiki.eclipse.org,org
128,100618,message #307622,JFace-Viewer 3.3-Features for 3.2 Users,Thomas Schindl,https://bugs.eclipse.org/bugs/show_bug.cgi?id=87733,bugs.eclipse.org,org
129,100684,message #307826,Eclipse documentation fault,Paul Webster,https://bugs.eclipse.org/bugs/,bugs.eclipse.org,org
130,102361,message #312639,[Requesting Support]Eclipse + knopflerfish,John J. Barton,http://wiki.eclipse.org/index.php/Pragmatic_Advice_on_PDE_Classpath,wiki.eclipse.org,org
131,104261,message #318390,Eclipse can not start up with -Xmx1024m,Eclipse User,http://java.sun.com/docs/hotspot/HotSpotFAQ.html,java.sun.com,com
132,104852,message #320295,What to do with beta versions?,Eclipse User,http://wiki.eclipse.org/EMFT#Builds_.26_Server_Configuration,wiki.eclipse.org,org
133,106149,message #324442,Re: How to refresh the workbench toolbar ?,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
134,106474,message #325539,"""The operation is not currently available""",Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
135,106501,message #325612,Eclipse Help System Bug?,Dan O'Neill,http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.jst.jsf.doc.dev/html/api_reference/index.html,help.eclipse.org,org
136,107065,message #327380,Using CharsetICU in Eclipse,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
137,107544,message #328828,crosstab refresh data cube,Tianli Zhang,https://bugs.eclipse.org/bugs/show_bug.cgi?id=208511,bugs.eclipse.org,org
138,108290,message #331005,dropdown menu in view toolbar,Paul Webster,http://wiki.eclipse.org/Command_Core_Expressions,wiki.eclipse.org,org
139,108651,message #332052,Toolbar buttons with Eclipse Look,Paul Webster,http://wiki.eclipse.org/Platform_Command_Framework,wiki.eclipse.org,org
140,108941,message #332895,Providing a custom sorter for Project Explorer,Francis Upton IV,http://help.eclipse.org/ganymede/topic/org.eclipse.platform.doc.isv/guide/cnf.htm,help.eclipse.org,org
141,109852,message #335653,using fragments for version-specific features,Paul Webster,http://wiki.eclipse.org/Menus_Extension_Mapping,wiki.eclipse.org,org
142,110140,message #336500,Getting the IPartService from the Workbench...Getting null.,Paul Webster,http://wiki.eclipse.org/Menu_Contributions,wiki.eclipse.org,org
143,114844,message #350030,Disable logging,Raheel Ashraf,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
144,118008,message #359144,Disable logging,Raheel Ashraf,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
145,118579,message #360779,BIRT gurus: temporary tables or insert/delete,Leos Literak,http://www.krugle.org/examples/p-vIKakRc9j0FY1NL4/TestUtil.java,www.krugle.org,org
146,120088,message #365946,How to define the first day of the week when using weekly interval,Eclipse User,http://www.birt.eclipse.org/ChartModelType,www.birt.eclipse.org,org
147,121776,message #371765,How to paint cell?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37998,bugs.eclipse.org,org
148,122142,message #372906,UnsatisifedLinkError on RedHat 8.0 with Eclipse R2.1.1 (Motif),Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-swt-home/f,dev.eclipse.org,org
149,122857,message #375058,Source repository access,Derek Palma,https://bugs.eclipse.org/bugs/show_bug.cgi?id=252639,bugs.eclipse.org,org
150,123799,message #378426,SWT Table performance problems again....,Steve Northover,https://bugs.eclipse.org/bugs/show_bug.cgi?id=36226,bugs.eclipse.org,org
151,124026,message #379308,newWizard menus and extension in RCP,Nick Edgar,https://bugs.eclipse.org/bugs/show_bug.cgi?id=73736,bugs.eclipse.org,org
152,124171,message #379782,Problems generating a model that inherits features from two places,Randall Hauch,http://www.joe.com/MultipleInheritance,www.joe.com,com
153,125658,message #385268,ReadAllQuery in 2-tier Swing App,James Sutherland,http://www.nabble.com/EclipseLink---Users-f26658.html,www.nabble.com,com
154,126195,message #387427,Help using the Dynamic JPA,Doug Clarke,https://bugs.eclipse.org/bugs/show_bug.cgi?id=200045,bugs.eclipse.org,org
155,126285,message #387784,drop-and-create-tables for Oracle,James Sutherland,http://www.nabble.com/EclipseLink---Users-f26658.html,www.nabble.com,com
156,127605,message #392827,Can I use Dynamic EMF for this?,Ed Merks,http://www.example.com/Library,www.example.com,com
157,127666,message #393083,FYI: EMF/SDO/XSD Corner is working again / new contributions welcome,Nick Boldt,http://www.eclipse.org/emf/models/,www.eclipse.org,org
158,128656,message #396936,Is it possible to generate non Java code with the generator framework,David Steinberg,http://eclipse.org/emf/docs.php,eclipse.org,org
159,129226,message #399038,nested attribute edit creates two Commands on the stack,Koen van Dijken,http://www.eclipse.org/emf/2002/GenModel,www.eclipse.org,org
160,129260,message #399170,Preserving View and RCP Window Locations and Size,Nick Edgar,http://help.eclipse.org/help30/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/ui/IPersistableElement.html,help.eclipse.org,org
161,130261,message #403200,Best Practices for Multiple Models & Sources,Ed Merks,https://bugs.eclipse.org/bugs/show_bug.cgi?id=136376,bugs.eclipse.org,org
162,130334,message #403461,How to define custom type represents RGB Class with schema ?,Ed Merks,http://dev.eclipse.org/viewcvs/indextools.cgi/*checkout*/org.eclipse.emf/doc/org.eclipse.emf.doc/references/overview/EMF.html,dev.eclipse.org,org
163,130423,message #403781,possible to generate a POJO using EMF?,Ed Merks,http://www.eclipse.org/emft/projects/teneo/#teneo,www.eclipse.org,org
164,130849,message #405554,DragNDrop from J2EE project Explorer to Editor,Ed Merks,https://bugs.eclipse.org/bugs/show_bug.cgi?id=161741,bugs.eclipse.org,org
165,131199,message #406882,2 model resolving problem,Marcus Ebner,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
166,131308,message #407399,saving objects,Aleksandr Kravets,http://www.iwaysoftware.com/designer/model,www.iwaysoftware.com,com
167,131680,message #408848,[Announce] Eclipse Modeling Framework Component Builds,Eclipse User,http://www.eclipse.org/modeling/emf/news/relnotes.php?project=validation&version=I200802272005,www.eclipse.org,org
168,131913,message #409816,creating a jet project,Paul Elder,http://download.eclipse.org/modeling/m2t/updates/site-interim.xml=,download.eclipse.org,org
169,131996,message #410133,AnyTypeImpl is the root object instead of expected object.,Eclipse User,http://www.roguewave.com/composites/testUnmarshall,www.roguewave.com,com
170,88874,message #275191,Unicode bug,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=77853,bugs.eclipse.org,org
171,89974,message #278120,Paste error,Eclipse User,https://bugs.eclipse.org/bugs/enter_bug.cgi,bugs.eclipse.org,org
