,file_number,message_id,title,author
343,1066404,message #1694869,[Teneo] Make Teneo/Hibernate work with jcl-over-slf4j replacing org.apache.commons.logging,Timo Rohrberg
344,1067535,message #1698676,orion.edit.validator example not working,Nandan Agarwal
345,1070093,message #1707579,UML Diagram by using Eclipse,ag
346,1073333,message #1718514,How to filter items,Smart Home
347,1074627,message #1722893,Merge rename detection,Mattias Andersson
348,1074852,message #1723732,Relation Based Edge: find targets by name,Stefan Tischler
349,1074918,message #1723964,one element to multiple transformation,Lujain AlDakheel
350,1075261,message #1725299,Filterrow does not reveal full cell on edit,Alexander Becher
351,1075556,message #1726279,Creating Cross-Reference between XExpression and XVariableDeclaration outside of XBlockExpression,Larry LeBron
352,1076107,message #1728029,PluginUML2: Validating a uml diagram,jessica packer
353,1076237,message #1728450,Create Modeless WizardDialog,Rameshwari Meduri
354,1077449,message #1732302,Creating custom product/site/repository,Daniel Giron
355,1083175,message #1750097,Titan eclipse compilation issues,siddharth banerjee
356,1083306,message #1750490,[Announce] OCL 6.1.2 and 6.2.2 for Neon,Ed Willink
357,1084042,message #1752913,Virgo 3.7.0.M04 - Snaps is not available for download,Junior Sousa
358,1084777,message #1755478,EMF Forms: Format correctly a custom field,Jim 20100
359,1084899,message #1755978,How to get Team -> Show In History,al co
360,1085983,message #1760981,"Configuring security context for ""/admin""",Bill Mair
361,1087160,message #1767046,Syntax error reported for designated structure initializers when returning an anonymous structure,Peter Csaszar
362,1087497,message #1768130,Processing recursive data structures?,Reinhold Usolf
363,1089092,message #1773392,Starting Tomcat with Java 9,Christian Bachmaier
364,1089316,message #1774042,Need Help!!!,Dennis Golgolexa
365,1089339,message #1774103,issue when i want to use Eclipse in my Mac,omar alsaywed
366,1090020,message #1776346,Custom validation of constraints from existing metamodel,Matteo M.
367,1090224,message #1777064,No repository found,Lyndon Couch
368,1091506,message #1781258,Produttoria,Giuseppe Merolla
369,1092107,message #1783069,Windows websockets binary?,Peter Humphrey
370,1092970,message #1786022,Delete item from custom widget of property page with toolbar button,Anton Poelzleitner
371,1093665,message #1790385,Eugenia,PM PC
372,1094047,message #1791674,Why does a project Rename turn into copying?,Topher Eliot
373,1094845,message #1794182,I lost a file!,Noah Simon
374,1095052,message #1794863,Palette,Leonid Novikov
375,1095139,message #1795104,Changing Include path,"Frank Putnam, Jr"
376,1095164,message #1795179,Bundle start too early (before network connectivity),Luigi Saetta
377,1095686,message #1796712,How do I create a JUnit5 Test Suite in Eclipse?,Reinhardt Christiansen
378,1096919,message #1800685,Neon Repository not accessible?,Robert Schulk
379,888241,message #1506451,Bold font in scout fields,Jeremie Bresson
380,960051,message #1580576,Understand WB XWT Model,Elena Harz
381,977604,message #1598742,Issue with Eclipse,HuaMin Chen
382,978490,message #1599685,cannot add in watch points and duplicate task icons,sydney faria
383,979542,message #1600781,"Disable closing "")"" when using content assist suggestions",Toni Sailer
